Row0=Port(Qubit1L):Terminal(JJ1L_T1)	Row1=Port(Sink):Terminal(Sink1_T1)	Row2=Port(Source):Terminal(Source1_T1)	
Frequency   	Z[1,1]_Mag  	Z[1,1]_Phs  	Z[1,2]_Mag  	Z[1,2]_Phs  	Z[1,3]_Mag  	Z[1,3]_Phs  	Z[2,1]_Mag  	Z[2,1]_Phs  	Z[2,2]_Mag  	Z[2,2]_Phs  	Z[2,3]_Mag  	Z[2,3]_Phs  	Z[3,1]_Mag  	Z[3,1]_Phs  	Z[3,2]_Mag  	Z[3,2]_Phs  	Z[3,3]_Mag  	Z[3,3]_Phs  	
1.180000000000000E+09 	2.147171917554843E+02  	-8.999921719275713E+01  	1.416740243089456E-04  	-8.994495457033638E+01  	3.181028311706779E-02  	-9.002350511244285E+01  	1.416740048858831E-04  	-8.994497620304519E+01  	1.637178800888421E+02  	-8.999954903267013E+01  	1.253208231723050E-03  	9.000039623042764E+01  	3.181027875597815E-02  	-9.002352674515151E+01  	1.253208231723045E-03  	9.000039623042940E+01  	5.368415275488220E+02  	-8.999948439136982E+01  	
1.189000000000000E+09 	2.101010490336473E+02  	-8.999920470331294E+01  	1.397421328997443E-04  	-8.994553507486796E+01  	3.112759700046767E-02  	-9.002252962276297E+01  	1.397421470663055E-04  	-8.994553610665029E+01  	1.624534351109833E+02  	-8.999954891600439E+01  	1.262690004395692E-03  	9.000038110009211E+01  	3.112760015607300E-02  	-9.002253065454529E+01  	1.262690004395701E-03  	9.000038110009143E+01  	5.327606483466083E+02  	-8.999948435642332E+01  	
1.198000000000000E+09 	2.056989176773479E+02  	-8.999920214870420E+01  	1.379198078451015E-04  	-8.994643250180411E+01  	3.047663877112299E-02  	-9.002146099091780E+01  	1.379198092260304E-04  	-8.994642363106526E+01  	1.612077981510530E+02  	-8.999954879240360E+01  	1.272173478684390E-03  	9.000036389680905E+01  	3.047663907627192E-02  	-9.002145212017889E+01  	1.272173478684385E-03  	9.000036389681463E+01  	5.287409539325191E+02  	-8.999948431927831E+01  	
1.207000000000000E+09 	2.014961318824820E+02  	-8.999923566638113E+01  	1.361998344211494E-04  	-8.994764356755238E+01  	2.985521069096539E-02  	-9.002031063451959E+01  	1.361998550359763E-04  	-8.994766154388884E+01  	1.599805484774575E+02  	-8.999954866245216E+01  	1.281658644031054E-03  	9.000034478520340E+01  	2.985521520976708E-02  	-9.002032861085402E+01  	1.281658644031047E-03  	9.000034478520692E+01  	5.247810756322759E+02  	-8.999948428013930E+01  	
1.216000000000000E+09 	1.974791447737194E+02  	-8.999924783941918E+01  	1.345756569057869E-04  	-8.994916442038709E+01  	2.926131234283703E-02  	-9.001908932026448E+01  	1.345756693557405E-04  	-8.994918849800824E+01  	1.587712778144686E+02  	-8.999954852671794E+01  	1.291145490375787E-03  	9.000032392267686E+01  	2.926131504987928E-02  	-9.001911339788558E+01  	1.291145490375812E-03  	9.000032392267676E+01  	5.208796852916083E+02  	-8.999948423920118E+01  	
1.225000000000000E+09 	1.936360626191239E+02  	-8.999923868853273E+01  	1.330415416200029E-04  	-8.995099065726471E+01  	2.869316962347115E-02  	-9.001780719168610E+01  	1.330415476292492E-04  	-8.995100004129009E+01  	1.575795898846598E+02  	-8.999954838575245E+01  	1.300634008112840E-03  	9.000030145981560E+01  	2.869317091948988E-02  	-9.001781657571148E+01  	1.300634008112868E-03  	9.000030145981312E+01  	5.170354937877673E+02  	-8.999948419665104E+01  	
1.234000000000000E+09 	1.899556934960540E+02  	-8.999925001103576E+01  	1.315920694960963E-04  	-8.995311734336876E+01  	2.814911864159149E-02  	-9.001647379999265E+01  	1.315920753991618E-04  	-8.995313297163898E+01  	1.564050999713656E+02  	-8.999954824009036E+01  	1.310124188146644E-03  	9.000027754080521E+01  	2.814911990432791E-02  	-9.001648942826284E+01  	1.310124188146661E-03  	9.000027754080524E+01  	5.132472496061549E+02  	-8.999948415266634E+01  	
1.243000000000000E+09 	1.864274961167268E+02  	-8.999921916140808E+01  	1.302221118604067E-04  	-8.995553902708525E+01  	2.762759753281471E-02  	-9.001509813067614E+01  	1.302221054157414E-04  	-8.995551913221858E+01  	1.552474345001486E+02  	-8.999954809024962E+01  	1.319616021877394E-03  	9.000025230377761E+01  	2.762759616553072E-02  	-9.001507823580945E+01  	1.319616021877415E-03  	9.000025230377599E+01  	5.095137374788036E+02  	-8.999948410741676E+01  	
1.252000000000000E+09 	1.830423652505922E+02  	-8.999922971059550E+01  	1.289273239997439E-04  	-8.995824975021421E+01  	2.712724749822369E-02  	-9.001368862576685E+01  	1.289273228252967E-04  	-8.995823608389637E+01  	1.541062306383179E+02  	-8.999954793673101E+01  	1.329109501110579E-03  	9.000022588114156E+01  	2.712724725111146E-02  	-9.001367495944905E+01  	1.329109501110609E-03  	9.000022588114128E+01  	5.058337770815976E+02  	-8.999948406106401E+01  	
1.261000000000000E+09 	1.797915951439324E+02  	-8.999921900867236E+01  	1.277035518839816E-04  	-8.996124306363571E+01  	2.664678191215773E-02  	-9.001225321192697E+01  	1.277035447221639E-04  	-8.996121467962647E+01  	1.529811359115982E+02  	-8.999954778001826E+01  	1.338604618128498E-03  	9.000019839992044E+01  	2.664678041776398E-02  	-9.001222482791776E+01  	1.338604618128500E-03  	9.000019839992036E+01  	5.022062217872455E+02  	-8.999948401376241E+01  	
